"","state_id","date","policy_type","start_stop","comments","source"
"612","NE",2020-05-18,"Gyms","stop","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"616","CO",2020-05-27,"Food and Drink","stop","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"617","NY",2020-05-15,"Non-Essential Businesses","stop","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open","BU COVID-19 State Policy Database"
"619","IN",2020-06-01,"Phase 2","stop","Policy_Details: phase 2 begins in Cass County  Phase Level: 2, Phase Details Source information: https://backontrack.in.gov/files/BackOnTrack-IN_WhatsOpen-Closed-stage2.pdf","sip_submission_form: https://backontrack.in.gov/files/BackOnTrack-IN_WhatsOpen-Closed-stage2.pdf"
"633","SC",2020-05-04,"Food and Drink","stop","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"636","OH",2020-05-20,"Gyms","stop","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"637","MI",2020-06-08,"Food and Drink","stop","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"638","NY",2020-06-22,"Food and Drink","stop","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open","BU COVID-19 State Policy Database"
"639","MN",2020-04-27,"Non-Essential Businesses","stop","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"653","OR",2020-03-24,"Gyms","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"654","SC",2020-04-01,"Gyms","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"656","CT",2020-04-20,"Mandate Face Mask Use By All Individuals In Public Spaces","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"657","PA",2020-03-17,"Nursing Homes","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"659","ND",2020-03-20,"Gyms","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"660","VA",2020-03-16,"Childcare (K-12)","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"661","CT",2020-03-23,"Shelter in Place","start","State Policy Start","wikidata"
"663","PA",2020-04-19,"Mandate Face Mask Use By All Individuals In Public Facing Businesses","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"665","PA",2020-03-06,"State of Emergency","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"667","AZ",2020-05-01,"Resumed Elective Medical Procedures","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"669","OH",2020-04-29,"Mandate Face Mask Use By All Individuals In Public Facing Businesses","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"670","KY",2020-03-16,"Order Freezing Utility Shut Offs","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"671","ME",2020-03-25,"Gyms","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"672","UT",2020-04-10,"Mandate Face Mask Use By All Individuals In Public Facing Businesses","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"677","WA",2020-02-29,"State of Emergency","start","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"678","PA",2020-03-17,"Food and Drink","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"679","MA",2020-03-13,"Order Freezing Utility Shut Offs","start","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"680","CA",2020-06-18,"Mandate Face Mask Use By All Individuals In Public Spaces","start","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"681","DC",2020-04-03,"Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval","start","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"682","WA",2020-03-19,"Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval","start","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"684","TX",2020-03-21,"Food and Drink","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"687","CO",2020-03-26,"Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"689","VT",2020-03-13,"Nursing Homes","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"690","MS",2020-03-24,"Gyms","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"693","LA",2020-03-23,"Allow Audio Only Telehealth","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"694","OK",2020-04-01,"Non-Essential Businesses","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"695","VI",2020-03-25,"Shelter in Place","start","State Policy Start","manual"
"699","NC",2020-06-26,"Mandate Face Mask Use By All Individuals In Public Spaces","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"700","KS",2020-03-30,"Entertainment","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"706","SC",2020-03-15,"Allow Expand Medicaid Telehealth Coverage","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"707","PA",2020-03-28,"Shelter in Place","start","State Policy Start","manual"
"708","CA",2020-05-05,"Mandate Face Mask Use By All Individuals In Public Facing Businesses","start","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"709","IN",2020-03-16,"Suspended Elective Medical Dental Procedures","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"711","NY",2020-03-20,"Suspended Elective Medical Dental Procedures","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open","BU COVID-19 State Policy Database"
"712","RI",2020-03-13,"Nursing Homes","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"723","AL",2020-03-19,"Childcare (K-12)","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"724","CA",2020-03-20,"Reopened ACA Enrollment Using a Special Enrollment Period","start","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"725","KY",2020-03-18,"Allow Audio Only Telehealth","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"727","DE",2020-03-16,"Food and Drink","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"728","ME",2020-03-20,"Allow Audio Only Telehealth","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"729","IL",2020-03-23,"Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"734","OH",2020-03-15,"Food and Drink","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"737","TX",2020-03-23,"Childcare (K-12)","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"739","AL",2020-03-16,"Allow Expand Medicaid Telehealth Coverage","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"740","VT",2020-03-17,"Food and Drink","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"741","DC",2020-03-12,"Allow Expand Medicaid Telehealth Coverage","start","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"746","WA",2020-04-17,"Order Freezing Utility Shut Offs","start","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"749","MA",2020-05-18,"Resumed Elective Medical Procedures","start","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"750","SD",2020-03-24,"Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"751","TX",2020-03-13,"State of Emergency","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"752","NH",2020-03-28,"Non-Essential Businesses","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"753","NC",2020-03-30,"Non-Essential Businesses","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"754","WY",2020-03-19,"Food and Drink","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"755","TN",2020-03-23,"Food and Drink","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"756","NV",2020-04-01,"Shelter in Place","start","Stay at home, effective April 1. Gov. Steve Sisolak had shut down all nonessential businesses and encouraged residents to stay home for weeks before issuing a formal order, codifying a message he had been trying to send for weeks: ""STAY HOME for our State,"" he said on Twitter.","manual"
"757","HI",2020-04-15,"Allow Audio Only Telehealth","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"759","ID",2020-03-25,"Food and Drink","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"760","NE",2020-05-04,"Mandate Face Mask Use By All Individuals In Public Facing Businesses","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"762","MN",2020-07-24,"Mandate Face Mask Use By All Individuals In Public Spaces","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"770","WI",2020-03-25,"Non-Essential Businesses","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"771","AR",2020-03-20,"Gyms","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"772","VT",2020-04-17,"Mandate Face Mask Use By All Individuals In Public Facing Businesses","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"777","LA",2020-03-18,"Suspended Elective Medical Dental Procedures","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"778","MT",2020-03-30,"Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"781","FL",2020-03-20,"Entertainment","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"782","UT",2020-04-01,"Nursing Homes","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"784","RI",2020-03-14,"Reopened ACA Enrollment Using a Special Enrollment Period","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"790","NV",2020-03-21,"Entertainment","start","Other measures and details for this policy include: keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"791","KS",2020-03-16,"Order Freezing Utility Shut Offs","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"792","KY",2020-05-11,"Mandate Face Mask Use By All Individuals In Public Spaces","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"793","WV",2020-03-17,"Allow Expand Medicaid Telehealth Coverage","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"794","WV",2020-03-16,"Childcare (K-12)","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"795","MN",2020-04-16,"Allow Audio Only Telehealth","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"799","HI",2020-06-10,"Mandate Face Mask Use By All Individuals In Public Facing Businesses","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"800","OR",2020-03-25,"Day Care","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"801","AZ",2020-03-25,"Allow Audio Only Telehealth","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"806","MD",2020-03-23,"Non-Essential Businesses","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"810","ID",2020-03-13,"State of Emergency","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"812","OH",2020-03-26,"Day Care","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"813","TN",2020-03-19,"Allow Audio Only Telehealth","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"815","DC",2020-03-11,"State of Emergency","start","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"824","VA",2020-03-25,"Suspended Elective Medical Dental Procedures","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"825","NM",2020-03-24,"Shelter in Place","start","Stay at home, effective March 24 at 8 a.m. Addressing questions about whether she was issuing a shelter-in-place order, Gov. Michelle Lujan Grisham said that “the tantamount effect of what we’re doing is basically the same.” She added: “This is quite frankly an instruction to stay home.”","manual"
"826","ND",2020-03-16,"Childcare (K-12)","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"827","IN",2020-03-20,"Childcare (K-12)","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"829","TN",2020-03-20,"Childcare (K-12)","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"836","CT",2020-04-10,"Renter Grace Period Or Use Of Security Deposit To Pay Rent","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"837","PR",2020-03-15,"Shelter in Place","start","State Policy Start","wikidata"
"842","MT",2020-03-12,"State of Emergency","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"847","MS",2020-03-19,"Suspended Elective Medical Dental Procedures","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"848","MT",2020-03-20,"Food and Drink","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"853","NY",2020-04-17,"Mandate Face Mask Use By All Individuals In Public Spaces","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open","BU COVID-19 State Policy Database"
"855","VT",2020-03-13,"State of Emergency","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"856","CT",2020-04-10,"Stop Initiation Of Evictions Overall Or Due To Covid Related Issues","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"859","WA",2020-05-04,"Mandate Face Mask Use By All Individuals In Public Facing Businesses","start","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"861","MA",2020-03-24,"Shelter in Place","start","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"862","RI",2020-03-25,"Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"863","PA",2020-03-18,"Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"864","TN",2020-03-31,"Order Freezing Utility Shut Offs","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"868","KS",2020-03-24,"Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"870","OH",2020-03-17,"Gyms","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"872","UT",2020-03-16,"Childcare (K-12)","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"873","WI",2020-03-17,"Allow Audio Only Telehealth","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"875","MD",2020-03-16,"Order Freezing Utility Shut Offs","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"876","NY",2020-03-16,"Gyms","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open","BU COVID-19 State Policy Database"
"882","HI",2020-03-04,"State of Emergency","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"883","GA",2020-04-03,"Gyms","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"884","WV",2020-04-01,"Suspended Elective Medical Dental Procedures","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"889","WA",2020-04-29,"Resumed Elective Medical Procedures","start","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"891","MS",2020-04-24,"Resumed Elective Medical Procedures","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"897","AZ",2020-03-30,"Non-Essential Businesses","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"900","WV",2020-07-07,"Mandate Face Mask Use By All Individuals In Public Spaces","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"901","NY",2020-04-17,"Mandate Face Mask Use By All Individuals In Public Facing Businesses","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open","BU COVID-19 State Policy Database"
"902","LA",2020-03-17,"Gyms","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"904","RI",2020-03-28,"Shelter in Place","start","State Policy Start","wikidata"
"911","OK",2020-03-17,"Childcare (K-12)","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"914","MS",2020-03-24,"Entertainment","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"915","ND",2020-04-28,"Mandate Face Mask Use By All Individuals In Public Facing Businesses","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"920","PA",2020-04-27,"Resumed Elective Medical Procedures","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"923","IL",2020-03-21,"Gyms","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"928","NH",2020-03-17,"Allow Expand Medicaid Telehealth Coverage","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"930","MO",2020-04-06,"Nursing Homes","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"932","CO",2020-03-20,"Reopened ACA Enrollment Using a Special Enrollment Period","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"935","OH",2020-03-09,"State of Emergency","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"943","CA",2020-03-17,"Order Freezing Utility Shut Offs","start","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"951","CA",2020-03-18,"Allow Expand Medicaid Telehealth Coverage","start","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"954","NY",2020-03-18,"Childcare (K-12)","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open","BU COVID-19 State Policy Database"
"955","AK",2020-03-18,"Gyms","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"956","MS",2020-04-03,"Non-Essential Businesses","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"957","MA",2020-04-20,"Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues","start","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"958","DC",2020-03-17,"Entertainment","start","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"959","PA",2020-03-13,"Order Freezing Utility Shut Offs","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"963","IN",2020-05-01,"Mandate Face Mask Use By All Individuals In Public Facing Businesses","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"964","ND",2020-03-20,"Non-Essential Businesses","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"969","OR",2020-03-16,"Childcare (K-12)","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"970","OH",2020-03-23,"Shelter in Place","start","Order actually went into effect 3/23.  -jk -- Ohio Governor Mike DeWine and Dr. Amy Acton issued a stay-at-home order for all of Ohio. The first part of the order allows certain activities including leaving the house for health and safety, for necessary supplies and services, and for outdoor activity, although playgrounds will be closed.","manual"
"975","NV",2020-03-17,"Allow Audio Only Telehealth","start","Other measures and details for this policy include: keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"978","VT",2020-03-23,"Gyms","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"980","CO",2020-07-16,"Mandate Face Mask Use By All Individuals In Public Spaces","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"983","NY",2020-03-22,"Shelter in Place","start","FEMA declares NYC ""Major Disaster"".","manual"
"984","VA",2020-06-08,"Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"985","NC",2020-03-30,"Shelter in Place","start","State Policy Start","wikidata"
"987","WY",2020-03-19,"Non-Essential Businesses","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"990","NY",2020-03-16,"Reopened ACA Enrollment Using a Special Enrollment Period","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open","BU COVID-19 State Policy Database"
"994","MA",2020-03-16,"Allow Audio Only Telehealth","start","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"997","MS",2020-04-10,"Allow Expand Medicaid Telehealth Coverage","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1001","ND",2020-03-20,"Food and Drink","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
